Score

10
127
130
150
170
173
874
1359
1632
1084
980
209
221
363
242
1130
560
410
1039
329
503
271
378
303
290
244
208
252
455
974
811
1636
1397
1764
1730
454
1216
693
652
352
317
1717
789
894
1723
